Campaign ID,Campaign Name,Start Date,End Date,Channel,Impressions,Clicks,Conversions,Cost
1,Spring Sale 2022,3/15/2022,4/15/2022,Email,50000,3500,100,"$5,000.00 "
2,Summer Promo 2022,6/1/2022,7/1/2022,Social Media,100000,6000,200,"$8,000.00 "
3,Back to School 2022,8/15/2022,9/15/2022,Display Ads,75000,5500,150,"$6,500.00 "
4,Black Friday 2022,11/20/2022,12/1/2022,Search Ads,200000,12000,500,"$15,000.00 "
5,Holiday Special 2022,12/15/2022,12/31/2022,Email,100000,7500,250,"$10,000.00 "
6,Winter Sale 2023,1/15/2023,2/15/2023,Social Media,120000,8000,300,"$10,000.00 "
7,Valentine's Day 2023,2/8/2023,2/15/2023,Display Ads,50000,2500,80,"$3,500.00 "
8,Spring Promo 2023,3/1/2023,3/31/2023,Email,75000,5000,120,"$6,000.00 "
9,Mother's Day 2023,4/20/2023,5/15/2023,Search Ads,150000,8000,200,"$12,000.00 "
10,Memorial Day 2023,5/20/2023,5/31/2023,Social Media,100000,6000,150,"$8,000.00 "
11,Summer Sale 2023,6/15/2023,7/15/2023,Email,80000,5500,180,"$7,000.00 "
12,Independence Day 2023,7/1/2023,7/10/2023,Display Ads,60000,4000,100,"$5,000.00 "
13,Back to School 2023,8/15/2023,9/15/2023,Search Ads,180000,10000,300,"$15,000.00 "
